id,school_id,year_group,favourite_subject,least_favourite_subject,ability_maths,ability_english,ability_science,class_id,male,class_male_pr
100543,1,1,ICT,Geography,4,3,3,2,1,1
118021,1,1,Technology,Classical Studies,1,1,3,2,1,1
100507,1,1,Maths,Art,2,1,1,2,1,1
100502,1,1,PE,Classical Studies,3,3,2,2,1,1
100401,1,1,Maths,Art,4,4,3,2,1,1
100399,1,1,Technology,Maths,4,3,4,2,1,1
100459,1,1,ICT,PSCHE,3,3,3,2,1,1
117813,1,1,RS,Science,4,3,3,2,1,1
100494,1,1,PE,Art,3,3,3,2,1,1
100498,1,1,ICT,Art,3,2,3,2,1,1
100930,1,1,Geography,English,3,2,3,3,1,1
100948,1,1,Technology,Art,3,4,4,3,1,1
100933,1,1,Technology,Art,3,3,3,3,1,1
100953,1,1,Science,History,3,2,3,3,1,1
100938,1,1,Technology,Maths,2,2,3,3,1,1
100954,1,1,Geography,Music,3,2,3,3,1,1
100959,1,1,Geography,German,3,4,3,3,1,1
118026,1,1,PE,Art,4,3,4,3,1,1
118028,1,1,Technology,RS,4,3,3,3,1,1
100934,1,1,Geography,Maths,3,4,3,3,1,1
100958,1,1,Maths,German,4,4,4,3,1,1
100941,1,1,Technology,Classical Studies,4,3,4,3,1,1
100963,1,1,Geography,Library,4,3,4,3,1,1
100001,1,1,Art,Sports,3,2,4,3,1,1
100957,1,1,Maths,Art,4,3,4,3,1,1
100947,1,1,PE,Art,3,2,3,3,1,1
100942,1,1,Maths,German,3,2,3,3,1,1
100956,1,1,Maths,English,4,3,4,3,1,1
100940,1,1,Design Technology,PSCHE,4,3,4,3,1,1
100005,1,1,Geography,Art,4,3,3,3,1,1
118019,1,1,Maths,Library,4,3,4,3,1,1
100950,1,1,PE,English,3,2,3,3,1,1
100951,1,1,Design Technology,English,3,2,3,3,1,1
100002,1,1,PE,Art,4,3,4,3,1,1
100935,1,1,Geography,Music,3,3,2,3,1,1
100932,1,1,Technology,RS,3,2,2,3,1,1
100003,1,1,Technology,RS,NA,NA,3,3,1,1
100949,1,1,PE,History,3,3,3,3,1,1
100939,1,1,PE,RS,3,3,4,3,1,1
100931,1,1,Science,German,2,3,3,3,1,1
100946,1,1,RS,Maths,1,4,3,3,1,1
100530,1,1,Science,RS,4,3,4,4,1,1
100496,1,1,Technology,Spanish,4,3,3,4,1,1
100395,1,1,Technology,RS,3,2,3,4,1,1
100438,1,1,Maths,RS,4,3,3,4,1,1
100421,1,1,Geography,RS,3,2,3,4,1,1
100359,1,1,Physics,Art,3,3,4,4,1,1
100403,1,1,ICT,Art,2,3,3,4,1,1
117809,1,1,"Science, Maths",,4,3,4,4,1,1
100446,1,1,PE,Classical Studies,4,3,4,4,1,1
100432,1,1,ICT,PE,3,3,3,4,1,1
100503,1,1,Science,RS,4,3,4,4,1,1
100363,1,1,Physics,Art,3,3,4,4,1,1
100477,1,1,Science,PE,3,3,4,4,1,1
100456,1,1,PE,Art,4,3,4,4,1,1
100506,1,1,English,PE,4,4,4,4,1,1
100415,1,1,PE,RS,3,3,3,4,1,1
100451,1,1,Geography,History,3,3,2,4,1,1
100479,1,1,Maths,RS,4,3,3,4,1,1
100463,1,1,Science,RS,3,4,4,4,1,1
100480,1,1,Science,Music,3,2,3,4,1,1
100439,1,1,Maths,RS,4,2,3,4,1,1
100409,1,1,Geography,History,3,3,4,4,1,1
100410,1,1,PE,RS,3,3,3,4,1,1
100455,1,1,ICT,RS,4,3,3,4,1,1
100381,1,1,PE,RS,3,3,2,4,1,1
100518,1,1,,,4,2,4,4,1,1
100509,1,1,PE,Music,2,3,4,4,1,1
100492,1,1,PE,Art,4,3,3,4,1,1
100360,1,1,PE,Classical Studies,NA,2,3,4,1,1
100464,1,1,Geography,Spanish,4,4,4,4,1,1
100369,1,1,Maths,RS,4,3,3,5,1,1
100483,1,1,Technology,RS,4,3,3,5,1,1
100430,1,1,Technology,PSCHE,3,3,3,5,1,1
100527,1,1,History,RS,2,4,2,5,1,1
100433,1,1,Science,PSCHE,3,3,4,5,1,1
100450,1,1,PE,RS,4,3,3,5,1,1
100465,1,1,PE,English,4,3,3,5,1,1
100512,1,1,Technology,RS,3,4,3,5,1,1
100425,1,1,ICT,RS,4,3,4,5,1,1
100499,1,1,PE,Science,2,4,2,5,1,1
100534,1,1,PE,History,4,4,4,5,1,1
100526,1,1,PE,PSCHE,4,3,3,5,1,1
100511,1,1,PE,,3,3,3,5,1,1
100452,1,1,PE,French,4,3,3,5,1,1
100396,1,1,PE,RS,3,2,2,5,1,1
100429,1,1,PE,RS,4,3,3,5,1,1
100397,1,1,PE,Art,4,2,3,5,1,1
100453,1,1,Design Technology,RS,3,1,4,5,1,1
100418,1,1,PE,RS,3,3,3,5,1,1
100476,1,1,Music,RS,3,3,3,5,1,1
100515,1,1,PE,Classical Studies,3,2,3,5,1,1
100487,1,1,PE,RS,4,3,3,5,1,1
100520,1,1,"Maths, PE",RS,3,3,3,5,1,1
100532,1,1,"PE, Technology",French,3,2,2,5,1,1
100404,1,1,PE,Maths,2,3,3,5,1,1
100537,1,1,ICT,RS,3,2,3,5,1,1
100541,1,1,Food Technology,RS,4,3,4,5,1,1
100388,1,1,PE,RS,2,3,4,5,1,1
100500,1,1,Maths,RS,4,3,3,5,1,1
100466,1,1,PE,RS,3,2,2,5,1,1
100384,1,1,Science,History,3,2,3,5,1,1
100431,1,1,Art,History,4,3,3,6,1,1
100386,1,1,ICT,History,4,4,3,6,1,1
100485,1,1,PE,English,3,2,3,6,1,1
100383,1,1,Technology,,4,2,2,6,1,1
100474,1,1,ICT,PSCHE,3,3,3,6,1,1
100382,1,1,Maths,PSCHE,3,3,2,6,1,1
100402,1,1,"Geography, Maths",RS,4,3,2,6,1,1
100375,1,1,PE,RS,3,3,3,6,1,1
100519,1,1,Maths,PE,4,3,3,6,1,1
100393,1,1,Maths,History,3,3,3,6,1,1
100391,1,1,Technology,English,3,2,2,6,1,1
100364,1,1,Maths,RS,4,3,3,6,1,1
100486,1,1,ICT,History,4,3,4,6,1,1
100437,1,1,Science,English,3,2,3,6,1,1
100413,1,1,Technology,RS,3,3,3,6,1,1
100414,1,1,Technology,Art,3,2,2,6,1,1
100362,1,1,Maths,Science,4,4,3,6,1,1
100469,1,1,ICT,RS,3,2,3,6,1,1
100436,1,1,PE,History,3,2,2,6,1,1
100462,1,1,Technology,None,3,3,3,6,1,1
100387,1,1,Technology,RS,3,4,4,6,1,1
100535,1,1,Art,History,3,3,3,6,1,1
100424,1,1,Design Technology,German,4,4,4,6,1,1
118018,1,1,Art,RS,3,3,2,6,1,1
100540,1,1,Technology,RS,4,3,3,6,1,1
100508,1,1,PE,English,4,2,4,6,1,1
100445,1,1,Maths,Art,4,3,3,6,1,1
100478,1,1,Technology,Classical Studies,3,3,3,6,1,1
100427,1,1,History,Maths,2,3,3,6,1,1
100470,1,1,ICT,History,3,3,3,6,1,1
100568,1,2,Science,History,4,3,4,7,1,1
100669,1,2,Chinese,History,4,4,3,7,1,1
100560,1,2,PE,Art,3,4,4,7,1,1
100664,1,2,"Technology, Science",Library,4,4,4,7,1,1
100621,1,2,PE,Maths,4,3,3,7,1,1
100599,1,2,PE,RS,4,4,4,7,1,1
100693,1,2,PE,Art,3,3,3,7,1,1
100602,1,2,ICT,Geography,3,3,3,7,1,1
100634,1,2,History,Geography,3,3,3,7,1,1
100656,1,2,PE,ICT,4,3,2,7,1,1
100592,1,2,PE,Maths,4,3,3,7,1,1
100548,1,2,Maths,History,4,3,3,7,1,1
100549,1,2,ICT,RS,4,3,4,7,1,1
100677,1,2,"PE, ICT",History,4,3,4,7,1,1
100545,1,2,Art,Maths,4,3,4,7,1,1
100653,1,2,Science,RS,3,3,4,7,1,1
100563,1,2,PE,RS,4,4,3,7,1,1
100582,1,2,PE,History,4,2,3,7,1,1
100567,1,2,PE,Art,4,4,3,7,1,1
100699,1,2,PE,Spanish,4,3,4,7,1,1
100636,1,2,"PE, Technology",History,4,3,4,7,1,1
100607,1,2,PE,"Maths, Art",4,4,4,7,1,1
100597,1,2,Science,RS,3,2,4,7,1,1
100631,1,2,Design Technology,English,4,4,4,7,1,1
100612,1,2,Maths,RS,4,3,3,7,1,1
100588,1,2,Design Technology,History,4,3,3,7,1,1
100633,1,2,Art,English,4,1,3,7,1,1
100624,1,2,Music,Art,4,3,4,7,1,1
100552,1,2,PE,History,3,2,2,7,1,1
100614,1,2,PE,ICT,3,2,2,7,1,1
100671,1,2,Science,Geography,4,1,3,8,1,1
100643,1,2,Technology,RS,4,3,3,8,1,1
100630,1,2,Science,PSCHE,4,3,4,8,1,1
100623,1,2,Science,Music,NA,2,4,8,1,1
100600,1,2,Technology,Art,4,3,3,8,1,1
100692,1,2,ICT,PE,3,2,4,8,1,1
100546,1,2,Spanish,English,3,2,3,8,1,1
100613,1,2,ICT,Technology,4,3,3,8,1,1
100589,1,2,Maths,Technology,4,3,4,8,1,1
100663,1,2,PE,History,3,3,4,8,1,1
100697,1,2,Maths,RS,4,3,3,8,1,1
100595,1,2,Maths,RS,4,4,3,8,1,1
100705,1,2,Science,English,4,3,4,8,1,1
117801,1,2,PE,RS,3,3,3,8,1,1
100584,1,2,ICT,Technology,3,3,3,8,1,1
100572,1,2,Technology,History,4,3,3,8,1,1
100648,1,2,PE,Spanish,3,3,2,8,1,1
100575,1,2,Music,English,4,3,4,8,1,1
100586,1,2,History,Music,NA,3,3,8,1,1
100553,1,2,ICT,English,4,2,2,8,1,1
100707,1,2,Maths,History,4,3,4,8,1,1
100617,1,2,Food Technology,PSCHE,3,2,3,8,1,1
117802,1,2,Maths,PE,4,2,4,8,1,1
100646,1,2,PE,English,4,2,3,8,1,1
100581,1,2,Maths,Food Technology,4,3,4,8,1,1
100609,1,2,Technology,RS,4,3,4,8,1,1
100598,1,2,PE,RS,4,3,3,8,1,1
100590,1,2,Technology,RS,4,4,2,8,1,1
100696,1,2,PE,Art,4,3,3,8,1,1
100688,1,2,English,Technology,4,4,4,8,1,1
117803,1,2,Food Technology,History,3,3,3,9,1,1
100562,1,2,PE,History,4,3,3,9,1,1
100604,1,2,Science,Maths,4,4,4,9,1,1
100676,1,2,ICT,RS,3,3,3,9,1,1
100659,1,2,,Maths,4,4,4,9,1,1
100675,1,2,PE,RS,3,4,4,9,1,1
100700,1,2,PE,Science,3,3,2,9,1,1
100704,1,2,Technology,English,3,2,4,9,1,1
100566,1,2,PE,German,4,3,3,9,1,1
100662,1,2,History,RS,3,3,3,9,1,1
100674,1,2,Geography,RS,3,3,4,9,1,1
100670,1,2,PE,History,3,2,3,9,1,1
100698,1,2,PE,History,3,3,3,9,1,1
100682,1,2,Technology,RS,3,3,4,9,1,1
100615,1,2,History,RS,4,4,3,9,1,1
100596,1,2,Technology,History,3,3,3,9,1,1
100579,1,2,Geography,PSCHE,3,3,4,9,1,1
100647,1,2,Latin,Technology,3,2,3,9,1,1
100687,1,2,PE,RS,4,3,2,9,1,1
100610,1,2,ICT,PSCHE,3,4,3,9,1,1
100591,1,2,ICT,History,4,4,4,9,1,1
100583,1,2,PE,Chinese,3,4,4,9,1,1
117804,1,2,English,RS,4,3,3,9,1,1
100569,1,2,PE,History,3,3,3,9,1,1
100701,1,2,ICT,RS,4,3,3,9,1,1
100652,1,2,Science,English,3,NA,4,9,1,1
100559,1,2,PE,RS,3,4,4,9,1,1
100657,1,2,ICT,RS,4,3,3,10,1,1
100645,1,2,PE,Science,3,4,2,10,1,1
100690,1,2,PE,RS,3,4,3,10,1,1
118020,1,2,PE,English,3,3,3,10,1,1
100635,1,2,Technology,RS,3,3,4,10,1,1
100640,1,2,Science,RS,3,2,4,10,1,1
100557,1,2,ICT,French,2,3,3,10,1,1
100637,1,2,Technology,German,2,2,3,10,1,1
100577,1,2,Maths,PSCHE,3,3,3,10,1,1
100618,1,2,PE,Spanish,3,3,2,10,1,1
100679,1,2,PE,German,4,2,3,10,1,1
100564,1,2,Technology,Spanish,3,4,4,10,1,1
100668,1,2,PE,Maths,2,1,1,10,1,1
100603,1,2,English,Technology,2,3,3,10,1,1
100620,1,2,PE,RS,4,3,4,10,1,1
100644,1,2,PE,Geography,3,3,3,10,1,1
100639,1,2,PE,RS,3,3,3,10,1,1
100601,1,2,PE,RS,2,3,2,10,1,1
100605,1,2,English,Art,3,4,3,11,1,1
100358,1,2,PE,Art,3,3,4,11,1,1
100661,1,2,Spanish,RS,3,3,2,11,1,1
100547,1,2,PE,History,4,2,1,11,1,1
100606,1,2,Music,RS,2,2,3,11,1,1
100570,1,2,Technology,RS,3,4,3,11,1,1
100681,1,2,ICT,History,3,3,4,11,1,1
100626,1,2,Technology,Geography,3,2,4,11,1,1
100660,1,2,PE,RS,3,4,3,11,1,1
100649,1,2,Technology,Languages,2,2,3,11,1,1
100695,1,2,Technology,History,3,2,3,11,1,1
100667,1,2,PE,Science,2,3,1,11,1,1
100708,1,2,Latin,Art,3,3,3,11,1,1
100672,1,2,Maths,RS,3,2,3,11,1,1
100684,1,2,Technology,RS,2,2,3,11,1,1
100632,1,2,Music,Geography,3,4,2,11,1,1
100654,1,2,PE,History,3,3,3,11,1,1
100658,1,2,Technology,RS,2,3,4,11,1,1
100580,1,2,PE,History,2,3,2,12,1,1
100628,1,2,PE,Art,3,3,2,12,1,1
100593,1,2,PE,English,3,3,2,12,1,1
100685,1,2,Sports,RS,2,3,2,12,1,1
100561,1,2,PE,"Science, Geography",1,3,1,12,1,1
100565,1,2,PE,Geography,2,3,2,12,1,1
100641,1,2,Maths,Art,2,2,2,12,1,1
100554,1,2,Art,English,3,1,3,12,1,1
100555,1,2,PE,History,3,2,2,12,1,1
100571,1,2,PE,French,3,4,3,12,1,1
100629,1,2,Science,PE,1,2,3,12,1,1
100683,1,2,ICT,Art,2,3,3,13,1,1
100673,1,2,PE,History,3,3,3,13,1,1
100573,1,2,English,RS,2,4,3,13,1,1
100650,1,2,PE,Maths,4,4,4,13,1,1
100576,1,2,PE,Science,2,4,1,13,1,1
100587,1,2,German,Science,2,3,3,13,1,1
100622,1,2,English,Technology,2,2,2,13,1,1
100608,1,2,"PE, Music",History,4,3,4,13,1,1
100638,1,2,English,Science,2,4,4,13,1,1
100625,1,2,ICT,,3,3,3,13,1,1
117814,1,2,Technology,RS,2,3,4,13,1,1
100578,1,2,ICT,RS,1,2,3,13,1,1
118025,1,3,Technology,Latin,4,4,4,14,1,1
100793,1,3,ICT,RS,4,3,3,14,1,1
100872,1,3,Spanish,Art,4,3,3,14,1,1
100745,1,3,Latin,Physics,4,4,2,14,1,1
100885,1,3,Geography,History,4,4,4,14,1,1
100795,1,3,Geography,Chemistry,4,3,2,14,1,1
100861,1,3,ICT,PE,4,3,4,14,1,1
100818,1,3,Maths,RS,4,1,3,14,1,1
100735,1,3,ICT,Art,4,4,4,14,1,1
100900,1,3,Design Technology,Latin,4,3,3,14,1,1
100945,1,3,PE,RS,2,3,3,14,1,1
100809,1,3,PE,,4,3,4,14,1,1
100915,1,3,Languages,RS,3,4,3,14,1,1
100739,1,3,PE,RS,4,3,3,14,1,1
100812,1,3,"Music, Art, English",Geography,4,3,4,14,1,1
100849,1,3,Food Technology,RS,4,3,3,14,1,1
100830,1,3,Maths,RS,4,3,4,14,1,1
100819,1,3,Chemistry,RS,3,3,3,14,1,1
100918,1,3,French,RS,3,2,4,14,1,1
100844,1,3,ICT,History,4,3,4,14,1,1
100914,1,3,Latin,PE,4,3,3,14,1,1
100847,1,3,Design Technology,RS,4,4,4,14,1,1
100928,1,3,Science,Spanish,4,4,4,14,1,1
100926,1,3,Food Technology,Technology,4,4,3,14,1,1
100804,1,3,Chemistry,Geography,4,3,4,14,1,1
100713,1,3,Music,History,4,4,4,14,1,1
117810,1,3,PE,RS,4,3,3,14,1,1
100835,1,3,Music,PSCHE,3,4,3,15,1,1
100925,1,3,ICT,Art,4,3,4,15,1,1
100783,1,3,ICT,RS,4,4,4,15,1,1
100790,1,3,Technology,RS,4,2,4,15,1,1
100732,1,3,ICT,RS,3,2,3,15,1,1
100750,1,3,PE,Geography,4,3,3,15,1,1
100753,1,3,Art,Latin,3,3,3,15,1,1
100906,1,3,Technology,French,3,4,4,15,1,1
100803,1,3,Maths,Art,4,2,3,15,1,1
100829,1,3,"Maths, Music",History,4,2,3,15,1,1
100860,1,3,Biology,Art,4,3,4,15,1,1
100879,1,3,Art,Latin,3,3,3,15,1,1
100903,1,3,PE,Technology,4,4,4,15,1,1
100816,1,3,PE,Art,3,3,3,15,1,1
100913,1,3,Chemistry,Design Technology,3,4,4,15,1,1
100927,1,3,ICT,RS,4,4,4,15,1,1
100786,1,3,PE,German,4,3,3,15,1,1
100710,1,3,ICT,RS,4,3,4,15,1,1
100796,1,3,Chemistry,PSCHE,3,4,3,15,1,1
100743,1,3,Biology,PSCHE,4,3,4,15,1,1
100917,1,3,Chemistry,RS,3,2,4,15,1,1
100929,1,3,Art,Technology,4,3,4,15,1,1
100910,1,3,Maths,English,4,2,3,15,1,1
100808,1,3,Technology,Chinese,NA,3,3,15,1,1
100731,1,3,Maths,RS,4,3,4,15,1,1
100717,1,3,PE,Art,4,3,4,15,1,1
100733,1,3,Technology,Spanish,4,3,4,15,1,1
100737,1,3,Music,PSCHE,4,3,2,15,1,1
100791,1,3,Science,ICT,4,4,4,15,1,1
100728,1,3,Physics,Technology,3,2,3,15,1,1
100902,1,3,Biology,PSCHE,4,4,4,15,1,1
100788,1,3,English,Maths,3,4,3,16,1,1
100801,1,3,Maths,Music,4,4,4,16,1,1
100820,1,3,PE,Art,3,4,3,16,1,1
100962,1,3,Art,Maths,3,4,3,16,1,1
100831,1,3,PE,Music,3,4,3,16,1,1
100749,1,3,PE,RS,3,4,3,16,1,1
100760,1,3,Technology,History,3,3,4,16,1,1
100734,1,3,Spanish,RS,3,3,3,16,1,1
100836,1,3,PSCHE,Maths,2,3,3,16,1,1
100888,1,3,PE,RS,3,4,3,16,1,1
100859,1,3,Art,,3,3,3,16,1,1
100778,1,3,PE,RS,3,3,4,16,1,1
100832,1,3,PE,RS,3,2,3,16,1,1
100921,1,3,PE,RS,3,3,3,16,1,1
100850,1,3,,,3,2,4,16,1,1
100896,1,3,PE,ICT,2,3,3,16,1,1
100721,1,3,PE,RS,3,3,3,16,1,1
100869,1,3,Art,German,3,3,2,16,1,1
100897,1,3,PE,Spanish,3,3,3,16,1,1
100754,1,3,Food Technology,Maths,2,2,2,16,1,1
100748,1,3,PE,RS,3,3,4,16,1,1
100865,1,3,PE,Physics,3,4,3,16,1,1
100738,1,3,Technology,Biology,4,3,2,16,1,1
100871,1,3,Art,RS,3,3,4,16,1,1
100919,1,3,Art,Maths,3,4,3,16,1,1
100756,1,3,PE,Technology,4,3,3,16,1,1
100826,1,3,PE,English,3,2,4,16,1,1
100852,1,3,ICT,Physics,3,3,3,16,1,1
100842,1,3,Art,RS,3,3,3,16,1,1
100839,1,3,Art,Spanish,3,4,3,17,1,1
100866,1,3,French,RS,3,3,4,17,1,1
100810,1,3,PE,Latin,3,4,4,17,1,1
100890,1,3,PE,Art,3,2,4,17,1,1
100725,1,3,Art,German,3,3,3,17,1,1
100751,1,3,Technology,RS,2,1,3,17,1,1
100761,1,3,PE,Art,4,3,3,17,1,1
100747,1,3,PE,Art,3,3,3,17,1,1
100746,1,3,Technology,English,3,2,4,17,1,1
100827,1,3,Food Technology,Languages,3,4,3,17,1,1
100719,1,3,Technology,English,4,2,3,17,1,1
100716,1,3,English,Art,3,3,3,17,1,1
100912,1,3,Art,German,3,4,2,17,1,1
100720,1,3,Technology,French,3,2,2,17,1,1
100769,1,3,ICT,Technology,4,2,1,17,1,1
100894,1,3,Chemistry,English,3,2,3,17,1,1
100893,1,3,German,English,3,2,3,17,1,1
100846,1,3,Technology,Languages,3,3,3,17,1,1
100824,1,3,Technology,English,2,1,3,17,1,1
100722,1,3,,,4,3,4,17,1,1
100911,1,3,PE,Physics,3,4,2,17,1,1
100768,1,3,Technology,History,3,3,3,17,1,1
100757,1,3,German,Music,4,3,4,17,1,1
100856,1,3,Maths,Technology,4,3,4,17,1,1
100920,1,3,Technology,Art,3,4,3,17,1,1
100874,1,3,Technology,RS,3,2,2,17,1,1
117805,1,3,English,Modern Foreign Languages,3,4,3,17,1,1
100774,1,3,History,German,3,3,3,17,1,1
100709,1,3,Spanish,History,4,3,3,18,1,1
100736,1,3,"PE, Spanish, Geography",Art,2,2,3,18,1,1
100922,1,3,PE,Spanish,2,2,3,18,1,1
100882,1,3,PE,Spanish,3,2,3,18,1,1
100799,1,3,History,Art,3,3,3,18,1,1
100729,1,3,ICT,German,4,3,3,18,1,1
100889,1,3,Food Technology,Art,3,4,3,18,1,1
100837,1,3,Technology,French,3,2,2,18,1,1
100718,1,3,"ICT, PE, Food Technology",Art,3,2,3,18,1,1
100789,1,3,"Art, ICT",Science,3,3,3,18,1,1
100843,1,3,Art,Latin,3,2,2,18,1,1
100806,1,3,Technology,Spanish,4,3,3,18,1,1
100815,1,3,"Maths, Chemistry",History,4,4,4,18,1,1
100875,1,3,ICT,English,3,2,2,18,1,1
100878,1,3,PE,RS,2,2,3,18,1,1
100848,1,3,Technology,Physics,3,4,4,18,1,1
100724,1,3,Art,Spanish,3,3,3,18,1,1
100777,1,3,ICT,Latin,3,3,2,18,1,1
100805,1,3,German,Geography,3,3,3,18,1,1
100740,1,3,"Technology, PE","History, RS",4,3,3,18,1,1
100916,1,3,Chemistry,French,4,3,3,18,1,1
100779,1,3,Geography,English,3,2,2,18,1,1
100811,1,3,Food Technology,Biology,3,4,3,18,1,1
100727,1,3,Music,PSCHE,3,3,3,18,1,1
100763,1,3,Science,Art,4,3,4,18,1,1
100787,1,3,RS,PSCHE,2,4,1,19,1,1
100887,1,3,PE,Maths,2,3,3,19,1,1
100797,1,3,Maths,RS,4,2,4,19,1,1
100876,1,3,Art,French,3,2,3,19,1,1
100817,1,3,PE,Art,3,3,3,19,1,1
117806,1,3,PE,RS,2,3,3,19,1,1
100771,1,3,PE,Maths,2,3,3,19,1,1
100781,1,3,ICT,Geography,2,3,3,19,1,1
100798,1,3,Food Technology,French,3,2,3,19,1,1
100880,1,3,Technology,Latin,4,1,4,19,1,1
100821,1,3,Latin,Music,2,3,3,19,1,1
100898,1,3,Technology,Geography,3,4,3,19,1,1
100712,1,3,Maths,English,4,2,3,19,1,1
100762,1,3,Food Technology,French,2,3,3,19,1,1
100892,1,3,Biology,Maths,3,3,4,19,1,1
100742,1,3,PE,RS,2,3,3,19,1,1
100807,1,3,PE,RS,2,4,3,19,1,1
100838,1,3,Chemistry,RS,2,3,4,19,1,1
100883,1,3,ICT,Latin,3,3,3,20,1,1
100775,1,3,Chemistry,Spanish,3,2,3,20,1,1
100744,1,3,PE,Chemistry,4,4,4,20,1,1
100766,1,3,PE,Geography,4,3,4,20,1,1
100936,1,3,Chemistry,Spanish,3,4,4,20,1,1
100776,1,3,PE,French,3,3,4,20,1,1
100802,1,3,ICT,RS,3,3,3,20,1,1
100723,1,3,Chemistry,Technology,3,2,4,20,1,1
100854,1,3,PE,Geography,3,3,3,20,1,1
100855,1,3,Chemistry,RS,3,4,4,20,1,1
100550,1,3,Chemistry,Physics,3,3,4,20,1,1
100907,1,3,Chemistry,RS,3,2,3,20,1,1
100899,1,3,Food Technology,History,3,2,3,20,1,1
100715,1,3,PE,Physics,3,3,4,20,1,1
100853,1,3,RS,Geography,3,4,3,20,1,1
100823,1,3,PE,ICT,3,3,2,20,1,1
100867,1,3,French,Latin,3,3,3,21,1,1
100730,1,3,ICT,English,2,1,3,21,1,1
100784,1,3,Technology,Chinese,3,2,3,21,1,1
100858,1,3,PE,Art,2,3,3,21,1,1
100770,1,3,Technology,History,3,3,2,21,1,1
100765,1,3,PE,RS,3,4,4,21,1,1
100870,1,3,Design Technology,French,2,3,3,21,1,1
100828,1,3,French,German,2,3,4,21,1,1
100881,1,3,Chemistry,PE,2,4,4,21,1,1
100845,1,3,PE,Latin,1,2,2,21,1,1
100755,1,3,ICT,Technology,1,2,2,21,1,1
100841,1,3,PE,History,3,2,3,21,1,1
100785,1,3,PE,French,2,3,4,21,1,1
100863,1,3,Food Technology,Music,2,3,3,22,1,1
100356,1,3,PE,German,3,1,3,22,1,1
117808,1,3,Spanish,Music,1,3,3,22,1,1
100862,1,3,English,Art,3,4,3,22,1,1
100884,1,3,Music,Spanish,1,3,2,22,1,1
117807,1,3,PE,German,3,3,3,22,1,1
100901,1,3,Maths,Technology,3,4,3,22,1,1
100792,1,3,PE,Spanish,2,2,2,22,1,1
100741,1,3,PE,Physics,4,1,1,22,1,1
100711,1,3,PE,German,2,2,2,22,1,1
100759,1,3,PE,RS,2,2,3,22,1,1
100840,1,3,Geography,RS,3,4,4,23,1,1
100813,1,3,German,PSCHE,3,2,3,23,1,1
100758,1,3,ICT,RS,2,2,2,23,1,1
100905,1,3,Art,RS,2,3,3,23,1,1
100814,1,3,Food Technology,Latin,1,3,4,23,1,1
